V	Current	
1.66	2.20773E-5
1.67	2.22035E-5
1.68	2.23295E-5
1.69	2.24553E-5
1.7	2.25809E-5
1.71	2.27062E-5
1.72	2.28312E-5
1.73	2.2956E-5
1.74	2.30806E-5
1.75	2.32048E-5
1.76	2.33287E-5
1.77	2.34524E-5
1.78	2.35757E-5
1.79	2.36987E-5
1.8	2.38214E-5
1.81	2.39437E-5
1.82	2.40657E-5
1.83	2.41873E-5
1.84	2.43085E-5
1.85	2.44293E-5
1.86	2.45498E-5
1.87	2.46698E-5
1.88	2.47894E-5
1.89	2.49086E-5
1.9	2.50273E-5
1.91	2.51456E-5
1.92	2.52634E-5
1.93	2.53808E-5
1.94	2.54976E-5
1.95	2.5614E-5
1.96	2.57298E-5
1.97	2.58452E-5
1.98	2.596E-5
1.99	2.60743E-5
2	2.6188E-5
2.01	2.63012E-5
2.02	2.64138E-5
2.03	2.65259E-5
2.04	2.66373E-5
2.05	2.67482E-5
2.06	2.68584E-5
2.07	2.69681E-5
2.08	2.70771E-5
2.09	2.71855E-5
2.1	2.72932E-5
2.11	2.74003E-5
2.12	2.75068E-5
2.13	2.76125E-5
2.14	2.77176E-5
2.15	2.7822E-5
2.16	2.79257E-5
2.17	2.80287E-5
2.18	2.8131E-5
2.19	2.82326E-5
2.2	2.83335E-5
2.21	2.84336E-5
2.22	2.8533E-5
2.23	2.86317E-5
2.24	2.87296E-5
2.25	2.88268E-5
2.26	2.89232E-5
2.27	2.90188E-5
2.28	2.91136E-5
2.29	2.92077E-5
2.3	2.9301E-5
2.31	2.93935E-5
2.32	2.94852E-5
2.33	2.95762E-5
2.34	2.96663E-5
2.35	2.97556E-5
2.36	2.98441E-5
2.37	2.99319E-5
2.38	3.00188E-5
2.39	3.01049E-5
2.4	3.01901E-5
2.41	3.02746E-5
2.42	3.03583E-5
2.43	3.04411E-5
2.44	3.05231E-5
2.45	3.06043E-5
2.46	3.06847E-5
2.47	3.07643E-5
2.48	3.08431E-5
2.49	3.0921E-5
2.5	3.09982E-5
2.51	3.10745E-5
2.52	3.115E-5
2.53	3.12248E-5
2.54	3.12987E-5
2.55	3.13719E-5
2.56	3.14443E-5
2.57	3.15158E-5
2.58	3.15867E-5
2.59	3.16567E-5
2.6	3.1726E-5
2.61	3.17945E-5
2.62	3.18623E-5
2.63	3.19294E-5
2.64	3.19957E-5
2.65	3.20613E-5
2.66	3.21262E-5
2.67	3.21904E-5
2.68	3.22539E-5
2.69	3.23167E-5
2.7	3.23789E-5
2.71	3.24404E-5
2.72	3.25013E-5
2.73	3.25615E-5
2.74	3.26212E-5
2.75	3.26803E-5
2.76	3.27387E-5
2.77	3.27967E-5
2.78	3.2854E-5
2.79	3.29109E-5
2.8	3.29672E-5
2.81	3.30231E-5
2.82	3.30785E-5
2.83	3.31335E-5
2.84	3.3188E-5
2.85	3.32421E-5
2.86	3.32958E-5
2.87	3.33492E-5
2.88	3.34023E-5
2.89	3.3455E-5
2.9	3.35075E-5
2.91	3.35597E-5
2.92	3.36116E-5
2.93	3.36634E-5
2.94	3.3715E-5
2.95	3.37665E-5
2.96	3.38178E-5
2.97	3.38691E-5
2.98	3.39203E-5
2.99	3.39715E-5
3	3.40227E-5
3.01	3.4074E-5
3.02	3.41254E-5
3.03	3.41769E-5
3.04	3.42285E-5
3.05	3.42804E-5
3.06	3.43325E-5
3.07	3.43848E-5
3.08	3.44375E-5
3.09	3.44906E-5
3.1	3.4544E-5
3.11	3.45979E-5
3.12	3.46523E-5
3.13	3.47072E-5
3.14	3.47627E-5
3.15	3.48189E-5
3.16	3.48757E-5
3.17	3.49333E-5
3.18	3.49916E-5
3.19	3.50508E-5
3.2	3.51108E-5
3.21	3.51718E-5
3.22	3.52338E-5
3.23	3.52968E-5
3.24	3.53609E-5
3.25	3.54262E-5
3.26	3.54927E-5
3.27	3.55605E-5
3.28	3.56297E-5
3.29	3.57002E-5
3.3	3.57722E-5
3.31	3.58457E-5
3.32	3.59209E-5
3.33	3.59977E-5
3.34	3.60762E-5
3.35	3.61565E-5
3.36	3.62388E-5
3.37	3.63229E-5
3.38	3.64091E-5
3.39	3.64973E-5
3.4	3.65877E-5
3.41	3.66804E-5
3.42	3.67753E-5
3.43	3.68727E-5
3.44	3.69725E-5
3.45	3.70749E-5
3.46	3.718E-5
3.47	3.72877E-5
3.48	3.73983E-5
3.49	3.75117E-5
3.5	3.76282E-5
3.51	3.77477E-5
3.52	3.78703E-5
3.53	3.79962E-5
3.54	3.81255E-5
3.55	3.82582E-5
3.56	3.83944E-5
3.57	3.85342E-5
3.58	3.86778E-5
3.59	3.88252E-5
3.6	3.89765E-5
3.61	3.91318E-5
3.62	3.92913E-5
3.63	3.9455E-5
3.64	3.96231E-5
3.65	3.97956E-5
3.66	3.99726E-5
3.67	4.01543E-5
3.68	4.03409E-5
3.69	4.05323E-5
3.7	4.07287E-5
3.71	4.09302E-5
3.72	4.1137E-5
3.73	4.13491E-5
3.74	4.15667E-5
3.75	4.17899E-5
3.76	4.20189E-5
3.77	4.22537E-5
3.78	4.24944E-5
3.79	4.27413E-5
3.8	4.29944E-5
3.81	4.32539E-5
3.82	4.35199E-5
3.83	4.37925E-5
3.84	4.40719E-5
3.85	4.43582E-5
3.86	4.46515E-5
3.87	4.49521E-5
3.88	4.52599E-5
3.89	4.55752E-5
3.9	4.58982E-5
3.91	4.62289E-5
3.92	4.65675E-5
3.93	4.69142E-5
3.94	4.72691E-5
3.95	4.76324E-5
3.96	4.80042E-5
3.97	4.83847E-5
3.98	4.8774E-5
3.99	4.91723E-5
4	4.95798E-5
4.01	4.99966E-5
4.02	5.04229E-5
4.03	5.08589E-5
4.04	5.13047E-5
4.05	5.17605E-5
4.06	5.22265E-5
4.07	5.27028E-5
4.08	5.31897E-5
4.09	5.36872E-5
4.1	5.41956E-5
4.11	5.47151E-5
4.12	5.52459E-5
4.13	5.57881E-5
4.14	5.63419E-5
4.15	5.69075E-5
4.16	5.74851E-5
4.17	5.8075E-5
4.18	5.86772E-5
4.19	5.9292E-5
4.2	5.99196E-5
4.21	6.05602E-5
4.22	6.12139E-5
4.23	6.18811E-5
4.24	6.25619E-5
4.25	6.32565E-5
4.26	6.39651E-5
4.27	6.4688E-5
4.28	6.54253E-5
4.29	6.61774E-5
4.3	6.69443E-5
4.31	6.77263E-5
4.32	6.85236E-5
4.33	6.93366E-5
4.34	7.01653E-5
4.35	7.10101E-5
4.36	7.18711E-5
4.37	7.27486E-5
4.38	7.36429E-5
4.39	7.45541E-5
4.4	7.54826E-5
4.41	7.64285E-5
4.42	7.73922E-5
4.43	7.83738E-5
4.44	7.93736E-5
4.45	8.03919E-5
4.46	8.14289E-5
4.47	8.24849E-5
4.48	8.35601E-5
4.49	8.46549E-5
4.5	8.57694E-5
4.51	8.6904E-5
4.52	8.80589E-5
4.53	8.92344E-5
4.54	9.04308E-5
4.55	9.16483E-5
4.56	9.28873E-5
4.57	9.4148E-5
4.58	9.54307E-5
4.59	9.67358E-5
4.6	9.80634E-5
4.61	9.94139E-5
4.62	1.00788E-4
4.63	1.02185E-4
4.64	1.03606E-4
4.65	1.05051E-4
4.66	1.0652E-4
4.67	1.08015E-4
4.68	1.09534E-4
4.69	1.11079E-4
4.7	1.12649E-4
4.71	1.14246E-4
4.72	1.15868E-4
4.73	1.17518E-4
4.74	1.19194E-4
4.75	1.20898E-4
4.76	1.2263E-4
4.77	1.2439E-4
4.78	1.26178E-4
4.79	1.27994E-4
4.8	1.2984E-4
4.81	1.31716E-4
4.82	1.33621E-4
4.83	1.35556E-4
4.84	1.37522E-4
4.85	1.39519E-4
4.86	1.41547E-4
4.87	1.43607E-4
